timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-09-11T00:00:00.000Z";"2024-09-11T23:59:59.999Z";"2024-09-11T00:50:00.000Z";"2024-09-11T14:49:00.000Z";"2790";123.0786729292;123.2151378114;116.6680419869;120.3285635684;1926118465.7465792;56260141330.45021;"2024-09-11T23:59:59.999Z"
"2024-09-10T00:00:00.000Z";"2024-09-10T23:59:59.999Z";"2024-09-10T18:40:00.000Z";"2024-09-10T04:40:00.000Z";"2790";122.3534609058;124.9776856275;120.1576699217;123.0703785046;1488214942.6109858;57489837351.85915;"2024-09-10T23:59:59.999Z"
"2024-09-09T00:00:00.000Z";"2024-09-09T23:59:59.999Z";"2024-09-09T21:17:00.000Z";"2024-09-09T15:01:00.000Z";"2790";117.236114436;123.3629444939;115.2134250263;122.3440165228;2204008419.1798105;56948608669.766685;"2024-09-09T23:59:59.999Z"
"2024-09-08T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-08T22:31:00.000Z";"2024-09-08T16:04:00.000Z";"2790";115.1665386938;118.6109658074;114.3473085268;117.2227255158;1188255112.1946971;54813118011.31676;"2024-09-08T23:59:59.999Z"
"2024-09-07T00:00:00.000Z";"2024-09-07T23:59:59.999Z";"2024-09-07T15:40:00.000Z";"2024-09-07T01:55:00.000Z";"2790";112.7035506876;116.5815985082;112.053428951;115.1665386938;1191381899.3862462;53843298889.90528;"2024-09-07T23:59:59.999Z"
"2024-09-06T00:00:00.000Z";"2024-09-06T23:59:59.999Z";"2024-09-06T13:25:00.000Z";"2024-09-06T21:01:00.000Z";"2790";116.3946334745;120.6173712321;109.1912264013;112.7035506876;3168445202.9693065;52528793290.57623;"2024-09-06T23:59:59.999Z"
"2024-09-05T00:00:00.000Z";"2024-09-05T23:59:59.999Z";"2024-09-05T14:04:00.000Z";"2024-09-05T19:56:00.000Z";"2790";120.5679193514;121.6636759843;115.3791357368;116.3871323953;1738231261.3972926;54485648189.56317;"2024-09-05T23:59:59.999Z"
"2024-09-04T00:00:00.000Z";"2024-09-04T23:59:59.999Z";"2024-09-04T16:35:00.000Z";"2024-09-04T01:13:00.000Z";"2790";115.4677931936;121.6688527095;111.886040437;120.5621719115;2410960439.8332553;56448722949.3242;"2024-09-04T23:59:59.999Z"
"2024-09-03T00:00:00.000Z";"2024-09-03T23:59:59.999Z";"2024-09-03T02:21:00.000Z";"2024-09-03T23:59:00.000Z";"2790";121.9919128363;123.8975331601;115.464758459;115.4677931936;1615416248.31491;53802451110.533455;"2024-09-03T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-02T23:59:59.999Z";"2024-09-02T23:35:00.000Z";"2024-09-02T07:49:00.000Z";"2790";116.5123098997;122.3222800756;115.0533507488;121.9879977679;1894230160.1414301;57043506075.342476;"2024-09-02T23:59:59.999Z"
"2024-09-01T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-09-01T20:25:00.000Z";"2024-09-01T23:16:00.000Z";"2790";122.3943041168;123.1060411836;116.0879714044;116.5201600235;1784883413.8508275;54287753236.5165;"2024-09-01T23:59:59.999Z"
"2024-08-31T00:00:00.000Z";"2024-08-31T23:59:59.999Z";"2024-08-31T00:36:00.000Z";"2024-08-31T20:11:00.000Z";"2790";124.8517877146;125.6584456506;121.7204932503;122.3943041168;806569418.6281805;57088347411.62865;"2024-08-31T23:59:59.999Z"
"2024-08-30T00:00:00.000Z";"2024-08-30T23:59:59.999Z";"2024-08-30T00:39:00.000Z";"2024-08-30T16:25:00.000Z";"2790";126.3991784169;127.2515600643;119.8623650981;124.8517877146;2421763635.6167293;58113713987.00295;"2024-08-30T23:59:59.999Z"
"2024-08-29T00:00:00.000Z";"2024-08-29T23:59:59.999Z";"2024-08-29T15:41:00.000Z";"2024-08-29T22:10:00.000Z";"2790";129.3454118786;132.8849806242;124.8044837493;126.4092623068;1886143600.97613;58701515287.47021;"2024-08-29T23:59:59.999Z"
"2024-08-28T00:00:00.000Z";"2024-08-28T23:59:59.999Z";"2024-08-28T05:25:00.000Z";"2024-08-28T16:24:00.000Z";"2790";131.4242776352;133.3551628442;126.8132553226;129.3387873243;2623528433.2955813;60025817681.92354;"2024-08-28T23:59:59.999Z"
"2024-08-27T00:00:00.000Z";"2024-08-27T23:59:59.999Z";"2024-08-27T05:46:00.000Z";"2024-08-27T22:36:00.000Z";"2790";140.8262696651;142.9293249332;130.2369286365;131.4097348228;2492898429.625754;61330211941.54577;"2024-08-27T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-08-26T23:59:59.999Z";"2024-08-26T10:49:00.000Z";"2024-08-26T17:49:00.000Z";"2790";142.0530609795;144.9261471118;139.5434270567;140.8219775904;2314169264.1621866;65521668766.67955;"2024-08-26T23:59:59.999Z"
"2024-08-25T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-25T22:17:00.000Z";"2024-08-25T07:41:00.000Z";"2790";143.6003115945;144.7299843432;138.932572123;142.0270965985;1862842541.4272714;66166148435.125374;"2024-08-25T23:59:59.999Z"
"2024-08-24T00:00:00.000Z";"2024-08-24T23:59:59.999Z";"2024-08-24T17:41:00.000Z";"2024-08-24T01:46:00.000Z";"2790";136.6721625912;144.7487729048;135.8185575562;143.6003115945;2454269409.126758;66867076774.08534;"2024-08-24T23:59:59.999Z"
"2024-08-23T00:00:00.000Z";"2024-08-23T23:59:59.999Z";"2024-08-23T22:11:00.000Z";"2024-08-23T14:53:00.000Z";"2790";128.8569264229;137.263903072;128.0988344495;136.671039079;2303534157.730328;64165795081.917564;"2024-08-23T23:59:59.999Z"
"2024-08-22T00:00:00.000Z";"2024-08-22T23:59:59.999Z";"2024-08-22T12:05:00.000Z";"2024-08-22T02:55:00.000Z";"2790";127.9313174154;129.7981138641;126.4779159768;128.8603646132;1226696080.8212197;59834776337.80023;"2024-08-22T23:59:59.999Z"
"2024-08-21T00:00:00.000Z";"2024-08-21T23:59:59.999Z";"2024-08-21T20:07:00.000Z";"2024-08-21T13:44:00.000Z";"2790";127.9041632847;129.2645175651;125.2368359069;127.948727988;1728290936.594871;59816956149.08122;"2024-08-21T23:59:59.999Z"
